Date,Open Price,High Price,Low Price,Close Price,Adj Close,Average Price,Volume
02-03-21,2960,3025,2948,3019,3006.35,2981.6,3306469
03-03-21,3035,3064,2996.9,3058,3059.1,3036.11,3509857
04-03-21,3023,3081.45,3016.05,3042.9,3049.7,3058.77,3916760
05-03-21,3016.1,3063.2,2996.6,3025,3008.05,3033.92,3203686
08-03-21,3016,3033,2996,3008.7,3006.95,3016.64,2003125
09-03-21,3006.95,3066.9,2992.1,3060.5,3050.95,3023.94,1942397
10-03-21,3075,3093.2,3060,3070,3070.95,3077.29,3053778
12-03-21,3075,3117,3041.35,3053.1,3057.95,3084.2,2938317
15-03-21,3041,3099,3041,3062.05,3066.15,3069.74,3097140
16-03-21,3060,3141,3060,3106,3110.05,3114.11,4894756
17-03-21,3105,3155,3085.3,3107.4,3112.95,3130.14,3838390
18-03-21,3125.95,3146.45,2987.05,3042,3036.5,3083.67,3656306
19-03-21,3030,3099,3005,3054.8,3050.2,3049.18,5776626
22-03-21,3048.7,3139.45,3018.65,3128,3129.65,3086.03,2821646
23-03-21,3140,3169,3122.85,3142,3142.6,3148.33,3305973
24-03-21,3111.2,3152.3,3111.15,3123.6,3121.1,3130.63,2207104
25-03-21,3112.2,3130.85,3050,3074.5,3064.85,3091.11,3179786
26-03-21,3090.65,3118,3043.05,3062,3066.8,3078.97,3697370
30-03-21,3083,3188.45,3060.9,3172,3158.55,3139.65,4694261
31-03-21,3155,3205,3132,3175.3,3177.85,3177.88,3530069
01-04-21,3191.1,3215,3145,3167,3165,3178.41,4285076
05-04-21,3171,3263,3151,3241,3238.9,3206.75,5317862
06-04-21,3275,3275,3230,3266.5,3264.7,3254.36,2291562
07-04-21,3259,3277.55,3234.8,3271,3271.4,3258.05,2491268
08-04-21,3271.4,3271.4,3271.4,3271.4,3271.4,3271.4,433408
08-04-21,3270,3335,3266.05,3315,3317.35,3314.03,2578118
09-04-21,3354,3354.35,3308,3325,3322.25,3327.38,2911129
12-04-21,3322.25,3338.1,3213.2,3250,3246.55,3275.21,3791828
13-04-21,3214,3214,3073.05,3120,3104.05,3116.13,8654596
15-04-21,3160.3,3237.25,3087.45,3227,3218.95,3168.14,6062760
16-04-21,3229,3247,3182.6,3186.1,3195.15,3209.11,3224657
19-04-21,3169,3189,3135.1,3159.15,3161.8,3164.13,2679106
20-04-21,3225,3225.35,3126.35,3140,3144.55,3150.28,3141893
22-04-21,3148,3148,3105.25,3121.05,3118.8,3122.39,1988980
23-04-21,3105,3119,3091.05,3110.2,3109.5,3105.86,1615309
26-04-21,3102.05,3153,3088.05,3100.05,3100.8,3122.35,2490260
27-04-21,3106,3136.1,3103,3132.75,3132,3122.18,1471417
28-04-21,3149.95,3151,3112,3123,3124.1,3125.72,1639037
29-04-21,3145.6,3157.35,3105.5,3114.45,3115.25,3130.83,1621395
30-04-21,3099,3132.05,3020,3040,3035.65,3063.19,3072305
03-05-21,3024.9,3055,3004,3035.85,3037,3035.65,1545831
04-05-21,3062.8,3090,3035,3052.9,3049.75,3061.2,1990777
05-05-21,3070,3099.4,3052.4,3095.75,3095.7,3083.22,1939289
06-05-21,3105.5,3134,3074,3115.9,3111.45,3107.27,1791671
07-05-21,3133,3159.85,3111.8,3131,3132.9,3136.92,1912540
10-05-21,3145.95,3164.2,3125,3147,3145.5,3145.94,2137153
11-05-21,3125,3128.1,3091.15,3120,3122.6,3111.04,2415625
12-05-21,3120,3120,3070.6,3085.5,3087.6,3086.76,1978558
14-05-21,3098.5,3098.5,3040,3052,3051.5,3051.89,2043935
17-05-21,3055,3075.2,3036,3072.75,3069.75,3054.41,2890462
18-05-21,3100,3124,3078,3089,3088.8,3097.13,2098538
19-05-21,3084,3118,3067.1,3084.9,3082,3095.03,1986041
20-05-21,3067.1,3088.8,3052.1,3060.65,3060,3065.96,2329027
21-05-21,3061,3088.2,3055.1,3080.5,3080.5,3075.95,1685566
24-05-21,3081.5,3105,3072,3082.45,3081.5,3089.42,1652260
25-05-21,3092,3128.25,3082.1,3115,3114,3111.62,1841613
26-05-21,3120,3165,3103.8,3158,3158.5,3143.41,1923753
27-05-21,3161.95,3217.75,3161.8,3198,3180,3189.1,5959785
28-05-21,3189.5,3198,3135.65,3146.35,3143.6,3161.25,1763701
31-05-21,3150,3170.35,3128.6,3163.4,3159.15,3155.52,1652799
01-06-21,3168.6,3169.95,3132,3153.9,3153,3147.93,1377441
02-06-21,3150.85,3159.45,3115,3135,3129.45,3128.08,2240078
03-06-21,3154.55,3154.55,3122.65,3144.9,3141.25,3136.68,1281706
